"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","batch_size","dataset","epochs","hidden_layers","lr","val_split","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/val_loss"
"Reacher6_arch6_lr0.001_batch16_valS0.8_relu","finished","-","","","2025-12-08T15:31:35.000Z","300","","relu","16","Reacher6","400","[107,107,107,107,107,107]","0.001","0.8","58","0.0010000000474974513","0.26091280579566956","0.873721182346344"
"Reacher6_arch6_lr0.01_batch128_valS0.05_tanh","finished","-","","","2025-12-08T15:30:45.000Z","49","","tanh","128","Reacher6","400","[107,107,107,107,107,107]","0.01","0.05","54","0.009999999776482582","0.8180155754089355","0.8234454393386841"
"Reacher6_arch10_lr0.0001_batch128_valS0.05_relu","finished","-","","","2025-12-08T15:30:07.000Z","92","","relu","128","Reacher6","400","[64,64,64,64,64,64,64,64,64,64]","0.0001","0.05","218","0.00009999999747378752","0.5301631093025208","0.5919820666313171"
"Reacher6_arch6_lr0.01_batch128_valS0.05_relu","finished","-","","","2025-12-08T15:29:35.000Z","69","","relu","128","Reacher6","400","[107,107,107,107,107,107]","0.01","0.05","83","0.009999999776482582","0.615980863571167","0.6422218680381775"
"Reacher6_arch6_lr0.01_batch128_valS0.1_tanh","finished","-","","","2025-12-08T15:28:47.000Z","47","","tanh","128","Reacher6","400","[107,107,107,107,107,107]","0.01","0.1","54","0.009999999776482582","0.8324055671691895","0.835330069065094"
"Reacher6_arch6_lr0.01_batch128_valS0.1_relu","finished","-","","","2025-12-08T15:27:42.000Z","64","","relu","128","Reacher6","400","[107,107,107,107,107,107]","0.01","0.1","78","0.009999999776482582","0.5935795903205872","0.6120370030403137"
"Reacher6_arch10_lr0.0001_batch128_valS0.1_tanh","finished","-","","","2025-12-08T15:27:17.000Z","169","","tanh","128","Reacher6","400","[64,64,64,64,64,64,64,64,64,64]","0.0001","0.1","399","0.00009999999747378752","0.5340465903282166","0.5709643363952637"
"Reacher6_arch6_lr0.01_batch128_valS0.2_tanh","finished","-","","","2025-12-08T15:26:57.000Z","44","","tanh","128","Reacher6","400","[107,107,107,107,107,107]","0.01","0.2","52","0.009999999776482582","0.8153497576713562","0.8206544518470764"
"Reacher6_arch6_lr0.01_batch128_valS0.2_relu","finished","-","","","2025-12-08T15:25:46.000Z","70","","relu","128","Reacher6","400","[107,107,107,107,107,107]","0.01","0.2","88","0.009999999776482582","0.6079415678977966","0.6111359000205994"
"Reacher6_arch10_lr0.0001_batch128_valS0.1_relu","finished","-","","","2025-12-08T15:25:25.000Z","111","","relu","128","Reacher6","400","[64,64,64,64,64,64,64,64,64,64]","0.0001","0.1","271","0.00009999999747378752","0.5286252498626709","0.6066173911094666"
"Reacher6_arch6_lr0.01_batch128_valS0.5_tanh","finished","-","","","2025-12-08T15:25:01.000Z","44","","tanh","128","Reacher6","400","[107,107,107,107,107,107]","0.01","0.5","55","0.009999999776482582","0.7951789498329163","0.7978361248970032"
"Reacher6_arch6_lr0.01_batch128_valS0.5_relu","finished","-","","","2025-12-08T15:23:54.000Z","66","","relu","128","Reacher6","400","[107,107,107,107,107,107]","0.01","0.5","89","0.009999999776482582","0.5722880959510803","0.6429300904273987"
"Reacher6_arch6_lr0.01_batch128_valS0.8_tanh","finished","-","","","2025-12-08T15:23:08.000Z","45","","tanh","128","Reacher6","400","[107,107,107,107,107,107]","0.01","0.8","61","0.009999999776482582","0.7351332306861877","0.7874405980110168"
"Reacher6_arch10_lr0.0001_batch128_valS0.2_tanh","finished","-","","","2025-12-08T15:22:47.000Z","156","","tanh","128","Reacher6","400","[64,64,64,64,64,64,64,64,64,64]","0.0001","0.2","399","0.00009999999747378752","0.5257142186164856","0.5712788701057434"
"Reacher6_arch6_lr0.01_batch128_valS0.8_relu","finished","-","","","2025-12-08T15:22:18.000Z","49","","relu","128","Reacher6","400","[107,107,107,107,107,107]","0.01","0.8","68","0.009999999776482582","0.5340250134468079","0.7071086168289185"
"Reacher6_arch6_lr0.01_batch64_valS0.05_tanh","finished","-","","","2025-12-08T15:21:00.000Z","77","","tanh","64","Reacher6","400","[107,107,107,107,107,107]","0.01","0.05","50","0.009999999776482582","0.8999398946762085","0.8841195702552795"
"Reacher6_arch10_lr0.0001_batch128_valS0.2_relu","finished","-","","","2025-12-08T15:20:56.000Z","110","","relu","128","Reacher6","400","[64,64,64,64,64,64,64,64,64,64]","0.0001","0.2","286","0.00009999999747378752","0.5287727117538452","0.6162292957305908"
"Reacher6_arch6_lr0.01_batch64_valS0.05_relu","finished","-","","","2025-12-08T15:19:11.000Z","108","","relu","64","Reacher6","400","[107,107,107,107,107,107]","0.01","0.05","66","0.009999999776482582","0.6785677671432495","0.6875068545341492"
"Reacher6_arch10_lr0.0001_batch128_valS0.5_tanh","finished","-","","","2025-12-08T15:18:43.000Z","132","","tanh","128","Reacher6","400","[64,64,64,64,64,64,64,64,64,64]","0.0001","0.5","399","0.00009999999747378752","0.5384494066238403","0.6064273118972778"
"Reacher6_arch6_lr0.01_batch64_valS0.1_tanh","finished","-","","","2025-12-08T15:17:44.000Z","86","","tanh","64","Reacher6","400","[107,107,107,107,107,107]","0.01","0.1","55","0.009999999776482582","0.8915868997573853","0.908700168132782"
"Reacher6_arch10_lr0.0001_batch128_valS0.5_relu","finished","-","","","2025-12-08T15:17:34.000Z","68","","relu","128","Reacher6","400","[64,64,64,64,64,64,64,64,64,64]","0.0001","0.5","209","0.00009999999747378752","0.5443403720855713","0.6532729268074036"
"Reacher6_arch10_lr0.0001_batch128_valS0.8_tanh","finished","-","","","2025-12-08T15:16:12.000Z","81","","tanh","128","Reacher6","400","[64,64,64,64,64,64,64,64,64,64]","0.0001","0.8","304","0.00009999999747378752","0.5616406798362732","0.6596090197563171"
"Reacher6_arch10_lr0.0001_batch128_valS0.8_relu","finished","-","","","2025-12-08T15:15:36.000Z","35","","relu","128","Reacher6","400","[64,64,64,64,64,64,64,64,64,64]","0.0001","0.8","133","0.00009999999747378752","0.5898460745811462","0.7314597368240356"
"Reacher6_arch6_lr0.01_batch64_valS0.1_relu","finished","-","","","2025-12-08T15:12:35.000Z","308","","relu","64","Reacher6","400","[107,107,107,107,107,107]","0.01","0.1","195","0.009999999776482582","0.6380220055580139","0.6633603572845459"
"Reacher6_arch10_lr0.0001_batch64_valS0.05_tanh","finished","-","","","2025-12-08T15:11:41.000Z","234","","tanh","64","Reacher6","400","[64,64,64,64,64,64,64,64,64,64]","0.0001","0.05","367","0.00009999999747378752","0.5198178887367249","0.5654554963111877"
